Entity,Code,Year,Men Overweight or Obese (%),Men (BMI),Women overweight or obese (%),Women (BMI),Daily caloric supply (per person) (kcal/person/day),Total population (Gapminder),HIV/AIDS and tuberculosis (DALYs),Diarrhea & common infectious diseases (DALYs),Malaria & neglected tropical diseases (DALYs),Maternal disorders (DALYs),Neonatal disorders (DALYs),Nutritional deficiencies (DALYs),Other communicable diseases (DALYs),Cancers (DALYs),Cardiovascular diseases (DALYs),Respiratory diseases (DALYs),Liver diseases (DALYs),Digestive diseases (DALYs),Neurological disorders (DALYs),Mental and substance use disorders (DALYs),"Diabetes, blood, & endocrine diseases (DALYs)",Musculoskeletal disorders (DALYs),Other NCDs (DALYs),Transport injuries (DALYs),Natural disasters (DALYs),Conflict and terrorism (DALYs),Self-harm (DALYs),Interpersonal violence (DALYs),Unintentional injuries (DALYs),% Adults > 25BMI
Niger,NER,2013,11.1,21.25878836,25.1,22.05770256,2547.0,17239826.0,419691.639797,3677539.19294,3003114.35236,208094.835137,1404064.50804,593500.5603819999,99522.0927452,234908.313914,464702.182785,118889.347468,74506.2371779,124840.78154000001,154844.12706099998,276320.932125,327455.842114,181864.386574,686876.661021,122034.546255,2067.83228125,6356.34329107,27355.4322361,31642.3692114,389014.047551,18.5
Nigeria,NGA,2013,22.9,22.67372427,38.6,23.88683648,2700.0,170901148.0,11737225.8382,26537041.5136,22232551.1812,998107.433482,17250949.764000002,4633424.95424,1165572.32583,2179639.13339,2400092.04153,831428.141986,871889.088437,735349.713905,1503284.7802,2953167.61393,2738369.60071,1933536.98883,6939753.0204300005,1284053.57018,89.43979942680001,176831.937664,233145.53795700002,122357.34393599999,3164729.35312,24.1
North Korea,PRK,2013,18.6,22.236419899999998,22.0,22.20289507,2094.0,24654358.0,116907.59646500001,486625.680529,11015.6333467,31067.530850400002,656253.2706810001,167121.24343499998,34573.66571369999,1272523.03975,1820208.2046,586171.485306,110084.15572000001,107336.98641900001,273828.80357,503467.87504300004,415204.45935799996,472282.978587,832779.7807090001,434793.507072,2874.06176633,0.0,133035.76518,51217.510946099996,476001.218282,31.8
Norway,NOR,2013,64.9,26.95020291,51.9,25.35946973,3485.0,4991997.0,1410.16312107,27582.852407599996,34.209857278600005,328.406095207,12618.4845251,4285.19179562,1817.57950642,204975.578764,179228.229854,56090.96629419999,8431.08826713,14474.361959,107696.48998599999,144116.255646,62253.734226,130279.644454,120858.303754,20217.9062106,333.127177109,3.09718474018,24017.203715,3479.86188298,57011.641423,60.3
Oman,OMN,2013,60.3,25.94394645,65.6,26.13952808,3143.0,2957333.0,2086.66556754,29981.8288542,1105.4860846,696.250047753,34372.7453496,14850.7305803,7716.9278771,31386.380021900004,101717.583352,14650.2592236,5576.56803021,4319.46262105,49906.007587199994,94267.7523389,71608.73169510001,69094.492702,83499.13886939999,101084.004962,26.4163047179,0.0,6282.25584085,2382.7626855999997,32667.768099299996,52.8
Pakistan,PAK,2013,20.5,23.3205997,25.4,24.28293057,2440.0,183188847.0,2029871.77868,11679917.0047,740850.577322,1002093.8709600001,14155856.3207,2123225.12988,1533628.03227,4053609.35613,9346807.70383,2221151.6151799997,1222461.25489,974051.8898959999,2151476.6077099997,3417613.92766,3502984.97626,2361322.2842099997,4968335.81092,2388123.4168,58086.822595000005,182250.431655,389202.975676,627492.782137,2405735.0468900003,23.9
Panama,PAN,2013,57.1,26.27494385,63.2,27.64292694,2733.0,3678264.0,35359.2065738,55545.91509419999,2459.93810616,3513.16773205,38137.0038345,14295.796372499999,3300.28545513,75738.499719,91302.9882194,24334.970665599998,11135.6304347,12508.091991,52648.8708835,67508.08934430001,71021.86290660001,55526.8780574,110446.919249,33791.126694700004,605.469791589,52.1584448541,10721.2222222,37070.4412708,38175.28662880001,56.3
Paraguay,PRY,2013,50.8,25.88602809,50.5,25.98250391,2589.0,6798236.0,13997.8433631,94119.75429129999,10739.9920849,8383.16401766,110216.905547,38365.39467830001,19170.6861319,140247.54623900002,207509.682398,40908.7021961,19797.4420449,28678.020033700002,85688.8479537,146979.36321500002,133397.16034,105826.982743,183485.159357,90334.62324269999,593.817289472,13.229889066300002,20639.262467700002,48529.774646800004,71264.7375454,48.6
Peru,PER,2013,51.9,25.80602464,60.8,26.88187343,2700.0,30075185.0,78226.4601851,642787.739764,41435.6823165,38403.548652699996,494535.779525,144207.707768,28994.6805885,578683.834495,514974.841971,201966.508558,132947.050306,129435.45387699999,366666.045325,574668.529357,382087.079442,482384.214125,876008.0891610001,249434.130189,4197.86376792,1615.80965975,45263.0063996,64435.477021000006,465279.56335699995,54.2
Philippines,PHL,2013,21.2,22.98080048,26.3,23.31753367,2570.0,98112780.0,1240829.6187,3362849.25807,526904.359442,123548.557629,2443945.95978,379303.922293,176934.81609500002,2069807.7329400002,4929077.7661,1329898.43671,377573.588918,444692.496095,995511.741241,1600210.6932700002,2208283.9892700003,1532796.479,2963877.54863,681388.6075319999,444034.05211000005,49641.9281294,262158.329633,776641.492179,1071560.48772,24.3
Poland,POL,2013,64.7,26.8518481,51.9,25.7666445,3451.0,38331803.0,26575.3974665,252823.41619299998,1392.51871144,2346.73574686,128742.112658,70364.8343467,16967.836218200002,2169633.3116200003,2847489.77003,306428.836055,257704.910848,242735.039794,706005.934014,875377.746631,570104.640469,968843.008158,1044174.12866,346514.630795,107.799646636,0.0,286262.629788,47995.69439230001,863798.082718,60.4
Portugal,PRT,2013,61.7,26.75481341,49.1,25.43240032,3477.0,10704534.0,43028.176740300005,91470.87231939999,2948.26707711,882.0998864539999,20267.1359806,12674.004205500001,4095.29898305,523860.788741,489006.93741300004,118758.63045899999,56403.5322171,41310.6084071,240344.62302199999,274608.18385100004,201281.355297,316210.23278,263429.100956,68491.8737731,37.109391220999996,0.0,44877.0276389,10225.2169957,114122.80583800001,60.2
Romania,ROU,2013,63.2,26.13988805,49.4,25.08612268,3358.0,21338815.0,47372.552074800005,205388.83674600002,1221.68335614,3049.08285467,93082.2791883,72884.45093400001,14130.682238,1080973.60302,2281413.5359099996,182228.836057,267222.462099,119613.003204,360980.402571,396240.069252,255987.070538,524467.783784,531845.71695,171071.871544,1740.02773455,414.343455385,93657.43214460001,27940.492663999998,469549.599272,59.2
Russia,RUS,2013,59.4,26.12708345,54.7,26.93682109,3361.0,142557892.0,1493948.8200299998,1830374.4717700002,36621.247172300005,27379.3379633,830378.998385,159812.510947,128273.93405,6795431.20801,19324254.4118,1033333.90537,1633038.2124700001,1178602.6538200001,2316110.4581400002,5446657.256,1929853.9037900001,3300758.2299900004,3905469.11884,1878534.1543400001,3000.33333721,34936.521629300005,2126398.06836,1178772.85008,4521389.16748,59.3
Rwanda,RWA,2013,10.0,21.24325956,26.3,22.54386149,2228.0,11608439.0,482863.537654,982158.8533969999,239436.596656,58195.37023180001,594530.6411,226915.541554,95064.9112222,182340.85546400002,208375.413909,84515.26347,41498.1908273,65610.6847765,103093.43034800001,202247.90482999998,121453.888896,98918.67525860001,259109.087323,98168.669455,37.175471238600004,45907.865634500005,26493.5145828,32933.12201870001,193482.968069,20.1
Saint Kitts and Nevis,KNA,2013,51.4,28.10666707,63.1,30.38693364,2492.0,54338.0,,,,,,,,,,,,,,,,,,,,,,,,50.2
Saint Lucia,LCA,2013,47.2,28.83289619,59.6,29.83676115,2595.0,179515.0,585.8375289969999,1852.2146937,284.038106257,102.443365808,2550.46726293,783.078820523,267.35765751,5087.05951342,6970.09560425,1483.37124605,832.372264345,649.591998776,2732.73464697,3937.41853221,5208.28412446,3344.24947397,4568.88564681,1512.4233059,1.4812941925100003,0.0,590.8625801430001,1585.72268471,2101.84382879,45.9
Saint Vincent and the Grenadines,VCT,2013,48.5,26.06566799,59.2,27.76066687,2968.0,109354.0,1092.22785617,1465.91033002,117.88691352,66.574717885,1968.75608268,637.991327629,219.20425996900002,3831.73180874,5802.55429346,735.98801742,463.219733357,602.297698902,1568.01519111,2503.56383217,4223.53523245,1870.0920294,2879.45188356,733.820505169,626.598286155,0.0,399.32654454699997,1209.45539419,1679.50383656,52.2
Samoa,WSM,2013,73.0,30.03497858,81.9,33.68689403,2960.0,185727.0,462.228178389,4019.74590389,197.401253502,122.810207838,2598.15854913,1022.94931076,429.39387692199995,3521.15662503,9705.86370879,2482.13592317,785.893291507,663.1621849640001,1930.71326729,2983.30774198,6384.75228159,2899.25518122,4695.35703719,1282.50816674,22.4464585568,0.0,1111.2706554000001,518.585258938,2288.76780661,73.8
Sao Tome and Principe,STP,2013,23.4,23.81963537,39.4,25.38931334,2400.0,175383.0,1982.00330635,10103.1582404,1764.31182249,452.894097752,7253.52653339,3029.65967343,773.59083929,3193.64706964,4856.48351355,2018.83791323,1929.68126696,1037.66189816,1835.25615303,2908.55539328,3060.97837392,1873.51002975,5796.68262897,1185.94949745,0.0,0.0,165.90826404700002,643.184861508,2287.69846946,29.3
Saudi Arabia,SAU,2013,64.8,27.48177528,70.3,28.864812699999998,3255.0,29319402.0,40290.6852449,199441.590541,10296.7180016,4004.01140372,273219.572867,149595.495733,37018.57970269999,280564.75221999997,723888.971351,120286.711279,60455.370742,40048.4398381,404146.710171,671412.968451,446234.527741,568028.115985,718591.680419,515907.45355100004,25.3230517767,741.461378647,46766.9994771,15910.775328799999,366624.739155,66.4
Senegal,SEN,2013,19.1,21.77433029,34.6,23.89676583,2456.0,13454191.0,302585.448646,1404251.44011,348032.234549,113930.90827,879853.2205870001,297249.690634,78636.0832674,242615.88471599997,385741.848296,95240.1359736,74034.3039258,84504.5201084,145085.658986,225563.718242,259600.145886,146646.231965,516675.717339,105615.1395,28.6402336836,359.267677167,38067.0735647,15221.570528,256065.713702,23.2
Serbia,SRB,2013,58.8,26.27799889,45.4,25.25843098,2728.0,9835010.0,4305.97729185,43418.0427591,513.81497452,1093.5498893,48110.8962616,21695.750019799998,4032.25143867,548705.644177,908108.9230180001,87909.8619253,33028.9944219,58259.5745072,165291.530283,181547.308233,186235.15656300003,242441.16875399998,240881.31274099997,68722.0674943,45.0447317199,5338.53614975,57024.096766999995,15285.233406,152149.81081,58.9
Sierra Leone,SLE,2013,16.3,21.91175623,32.8,23.49306368,2404.0,6255163.0,253487.605039,1160141.78371,856754.602559,76626.1732823,544669.654131,155517.463874,29805.2587032,101718.40969,203927.46993599998,45461.13809080001,39721.562679300005,46178.0285143,55758.957569000006,103748.736424,149329.971004,66393.2312442,322934.134437,54478.7227018,25.438419797199998,3795.46306643,13072.357088600002,7816.86140249,133271.922743,23.3
Slovakia,SVK,2013,63.9,27.06453392,49.1,25.33754146,2944.0,5488775.0,1047.37153269,42708.458797,90.6342005098,453.654830339,20927.215073500003,10318.024997600001,2524.1699333,279167.852488,424555.961931,32138.686184099995,48367.023635800004,32845.8350496,96474.1337358,111325.630864,76867.4548105,145399.850516,128041.51531900001,39490.24019630001,25.429944945,0.0,27615.3853107,8385.4670114,118192.02058299999,57.8
Slovenia,SVN,2013,63.7,26.57679967,49.4,26.24400936,3168.0,2044766.0,401.542037991,10138.735035400001,72.4572091878,159.300740886,4740.13689419,3895.19520475,940.1851267389999,108213.879115,108338.234769,13529.7634722,15179.138391999999,11460.173685,40320.426121,48136.4564916,28810.3376625,59763.513161099996,53608.513903800005,14039.035580599999,128.329284724,8.8005637671,15367.697109600002,1860.30172879,54080.5289152,58.9
Solomon Islands,SLB,2013,38.4,24.16199837,55.6,26.355636800000003,2391.0,580791.0,3904.08378715,23544.1839715,2117.71574898,1945.49452216,16077.7205046,5763.31133588,6035.80871721,12915.7389465,44930.5766295,12881.9118119,3244.23100805,3616.04999044,5069.11887134,8706.24555399,22912.272992500002,7688.81330782,16644.4439371,6250.01350088,643.1494104880001,0.0,4788.86422042,2200.32108232,11298.513050399999,48.9
South Africa,ZAF,2013,39.3,24.81602133,63.6,29.16004737,3022.0,50981076.0,12890850.6132,2291444.05408,170227.881667,136282.192327,1388910.7782299998,349817.842473,187806.397677,1207493.74474,1730324.45515,658890.068715,148636.78582000002,228821.183951,753450.5547600001,1141233.7016200002,1628557.4616399999,761354.273412,1348970.03542,1136155.37108,9057.01562934,7682.74701295,336383.266598,1043543.6321700001,727234.42152,49.5
South Korea,KOR,2013,36.8,24.14733626,29.4,23.19240091,3334.0,48774767.0,68411.77944550001,212872.08289700001,42193.0921014,3912.38745764,113042.85868699999,110730.257173,18707.4061638,1933414.9761299998,1246596.5381200002,377296.815204,269847.678331,125760.23910199999,882695.9091469999,1186175.11666,821594.0286130001,1250428.13301,1068525.65365,376823.28446999996,1606.59615317,37.5811330754,554623.543658,48138.1406542,580021.546622,30.8
Spain,ESP,2013,66.7,27.43407353,54.3,25.83970105,3174.0,47042602.0,64038.300452100004,209848.35301,4885.05330915,3777.79017064,106616.04351,49010.7839768,15908.9921468,1985766.1073,1634959.93969,474720.455816,171392.72515399999,169120.76268299998,1154956.3188399998,1147366.29572,658510.106933,1190687.84773,1110257.3608600001,216315.911128,121.649875491,245.84539406,130801.086095,28880.8601608,497703.020141,65.4
Sri Lanka,LKA,2013,16.6,22.46170949,29.7,23.44173012,2539.0,21393876.0,28549.497461900002,233401.264695,36393.482969,7944.80679947,163122.792535,78382.9702557,20984.372566799997,361976.064804,847807.727728,282361.670704,140148.954204,31973.9159084,275242.060219,383223.003344,508624.30296099995,355342.67881199997,529125.328209,158156.990678,12118.0093458,30394.014456800003,207103.587868,62063.3440949,243948.794536,21.9
Sudan,SDN,2013,21.1,23.53156585,33.3,26.51019635,2336.0,35940905.0,346084.52194899996,1681600.2868899999,380597.59486300003,184333.95892,1918293.9169400001,498858.767479,333836.6713,490218.65348000004,1657259.9378799999,306851.172133,127206.25180499999,128901.37106199999,457947.21624,774279.0031689999,684447.824521,604494.02747,2090576.0264400002,942267.1835700001,4626.99652776,227374.93674299997,84980.9385694,44259.273698000005,690146.278393,
Suriname,SUR,2013,51.2,26.14166932,62.1,27.90608422,2753.0,538882.0,4210.02937434,10469.8508066,1323.12115377,393.37746634900003,17318.737680500002,2858.26901258,1012.63941547,14124.894070800001,26744.652282799998,4173.42575495,2730.59242962,3654.84257314,7391.4666671,12636.887357700001,16290.688009799998,8973.78215767,16717.8546261,6105.22093709,0.24052132481199998,17.3857888251,6230.0882197,2798.72165469,8496.93749518,57.0
Swaziland,SWZ,2013,25.0,23.89943885,53.7,28.70831897,2329.0,1237166.0,399165.621515,141146.25501199998,5699.72471535,2712.90266124,61433.61239480001,13722.6045012,4664.28380281,22399.6349944,39864.7939264,16281.7377279,3859.51202024,6149.3381547,16241.5076525,25674.1825743,39291.637925099996,13576.021981400001,34324.0470134,27430.263736400004,4.60659218458,0.0,9290.36919809,14936.2357572,24025.185420599995,31.2
Sweden,SWE,2013,62.1,26.61841132,48.6,25.28202634,3179.0,9545823.0,2706.37490736,51769.1101888,85.1200613149,601.112533085,23158.188992099997,6872.33048921,3766.62804674,403524.59753,449827.164164,103186.246415,22181.519848400003,29750.776056200004,205765.147386,268203.75144699996,133242.02700499998,301359.215327,238552.60624000002,33270.365624,8.97245487399,0.0,52921.73774030001,8379.58525023,112957.798643,58.5
Switzerland,CHE,2013,63.9,26.4493151,47.0,23.68519008,3391.0,7761820.0,3998.71127572,33370.4367233,106.723750876,499.42773761300003,33538.4943745,13655.5550046,5037.29829289,314321.15178899997,280636.432326,72030.3936946,21153.0231081,26383.901868099998,184743.33706,207011.946889,101874.068166,261133.005064,210945.962737,30053.1321629,801.177329661,0.0,44289.0196742,5375.20110141,96512.0289262,56.6
Taiwan,TWN,2013,41.9,24.76242734,33.2,23.03145436,2997.0,23151000.0,26220.6494338,171211.604685,21230.2300916,2091.70401162,55193.448337099995,24653.3583447,20619.4616959,1045908.75447,734946.612496,208873.50512000002,173363.44637,92998.6814449,316326.663893,494009.192712,626094.478975,542172.9984810001,498286.613295,200419.422616,655.984567803,0.0,144780.723841,26986.7897098,183358.99183299998,
Tajikistan,TJK,2013,38.6,25.12730041,45.7,25.30742845,2201.0,7183529.0,26094.6564243,476680.533542,13291.441871500001,5432.39830758,304536.907291,54293.189497,22712.7416492,110630.89694400001,322094.888904,51161.528682899996,45533.2474524,33638.361867,105587.437638,139001.253391,103286.32734,96397.0010674,205168.664091,37832.059392400006,474.093116007,4034.9655439999997,18666.707276700003,14537.9115964,173715.18536300003,39.0
Tanzania,TZA,2013,14.8,22.22393022,31.2,23.74042171,2208.0,49153002.0,4369981.20379,5147381.416569999,1548037.17634,446373.95909799996,3256315.35404,1381816.75104,598593.939335,910795.9899940001,1284955.65285,365603.629716,215890.83405799998,322365.786788,458040.871301,822102.176855,705448.5484600001,443492.683092,1278308.83839,378382.760067,40.898735145799996,63.864127757,113708.503132,266749.15916,1018133.6838799999,22.5
Thailand,THA,2013,25.1,23.40453239,32.4,24.41636721,2784.0,70243267.0,729261.72405,1049079.77675,151541.356681,13249.876242799999,292985.68375900004,101800.590025,80150.82354530001,2337549.5073599997,2094479.8721900003,827395.289571,416867.035381,249797.117931,980226.2302459999,1419027.25637,1372714.58931,1600632.72575,1682940.29213,1081736.54956,6946.77224293,12025.3381107,359510.695534,283310.418,823506.5523239999,31.3
Togo,TGO,2013,15.3,22.42827364,32.8,24.12596568,2454.0,6412560.0,407959.659111,593283.516818,652931.080046,40812.290365,444508.97427299997,109488.648298,38817.055870599994,119817.767097,216737.434541,52432.416336400005,41166.6670472,46229.9711237,67997.6687493,118184.55171199999,123135.776902,76016.1410988,247294.886871,56468.5282102,5.70280342241,120.24389856100001,25872.319201,16096.497721599999,118209.914203,23.1
Trinidad and Tobago,TTO,2013,50.2,27.254332199999997,63.7,28.70801305,3052.0,1355342.0,11537.6693733,11853.4129806,1384.20071797,609.851282997,19856.7396909,4680.46718376,1546.95257112,40419.63965969999,73441.1799087,9962.96647153,5376.02751916,7694.74482393,20566.7858366,30759.969337000002,68962.6630846,27858.7177903,34649.8889061,13535.9677379,1.55326087681,3.26664239698,8347.32164068,16559.879153,15506.4413058,45.0
Tunisia,TUN,2013,54.5,25.05954274,63.8,26.87154901,3349.0,10813680.0,10997.274250499999,88751.86910010001,2393.19497047,3965.94706231,136369.220292,17259.5743381,12386.7563796,256113.010806,442524.790004,75940.50623160001,27769.2682449,28179.709828900002,185433.52558,264283.665842,233757.13650100003,257069.31442100002,314256.61825,143046.48313900002,20.2691310849,11529.997310200002,20106.763588799997,9023.01861185,113087.90844200001,59.3
Turkey,TUR,2013,62.4,26.77511817,68.0,28.53225474,3706.0,75359032.0,33501.0753995,531082.7470420001,14624.249870399999,15680.633599200002,1081457.8893600001,270649.745652,93328.45206289999,1895960.67565,2323001.76969,673205.071734,126652.261252,179339.592384,1404742.15811,1703591.2113,1488527.789,1829211.76791,2262435.7124099997,506483.61641,3678.46921922,76818.619587,117940.537157,109640.741954,675561.945408,64.5
Turkmenistan,TKM,2013,51.5,26.1754655,52.9,26.25826217,2840.0,5234640.0,36600.920933999994,181636.68161099998,1003.88496243,1147.88652045,157225.862105,23142.3683357,13535.199703600001,102044.211433,378287.584519,23275.8205262,82713.7830881,19086.938471200003,66427.0059525,100300.708108,95099.9149435,73720.44460439999,184806.503642,31280.738977599995,1178.35053015,0.0,24231.3964565,16650.7414793,94480.86875639998,46.7
Uganda,UGA,2013,12.1,21.35623469,27.6,22.91021621,2130.0,36759274.0,3914837.62544,3841259.83616,2415589.6143400003,258992.02350399998,3081250.54079,889588.3872229999,498874.655919,662391.729077,739172.56276,248021.7183,147630.32458800002,251771.27771700002,334389.145334,646587.263147,495387.281871,298314.80755100003,862688.8721479999,336046.238257,78.72831706630001,19704.1287521,125541.805933,171682.641906,728193.077853,17.6
Ukraine,UKR,2013,56.6,26.21388486,51.5,26.11862981,3138.0,44696741.0,526886.142747,344300.97342,6583.79802956,9735.56193814,268864.027495,34391.4385218,37389.322288699994,2132175.27539,7040679.403419999,390978.51175999996,637331.888917,269291.680606,824421.389085,1588430.33944,560387.807376,1236443.9351899999,1220689.83226,431337.584499,948.7181948589999,2416.68190178,448087.685662,191255.439958,1199893.42286,60.1
United Arab Emirates,ARE,2013,67.5,27.38807238,72.3,28.877800899999997,3280.0,8207940.0,7819.078193699999,52126.6739919,1302.89922413,1430.54593941,44202.675824800004,38186.4946612,15887.0227419,101422.00086,278110.342652,75552.1306638,13993.026880000001,17766.766673,118814.65301300002,239180.646952,156982.30293,185716.365355,194170.944496,215550.533503,0.0,0.0,23171.4901431,9965.67336312,138887.351226,60.5
United Kingdom,GBR,2013,67.2,27.3186382,58.0,26.967304100000003,3424.0,63177406.0,25851.065316,520561.10148,774.0094517680001,7181.90704253,237123.96489200002,63176.656690100004,27147.823541799997,3004133.84494,2654128.9900599997,894959.3301540001,274365.624833,337487.28043600003,1439930.52761,1717582.46495,719380.8571060001,1942751.34422,1748636.27909,218517.216195,527.313692991,711.9091391569999,238156.86265500003,38583.7921558,650139.911205,65.4
United States,USA,2013,72.3,28.86175228,62.4,28.61688055,3682.0,318497630.0,440946.80361899995,1995264.57858,10780.2908811,74407.81001310001,1459093.9529799998,195113.147959,182920.49008599998,12792401.7342,13947894.3393,4460772.95247,1644122.68885,1178699.84327,5910438.65784,11779741.0157,6839153.281830001,8729822.52467,7756198.249410001,2579746.06604,14196.392431799999,11214.691342799999,1858715.24974,1123469.8673,3478128.84413,68.6
Uruguay,URY,2013,62.1,26.70919435,60.1,26.91125466,3050.0,3403117.0,9236.55254467,31739.742755199997,624.744387436,937.0723486160001,19254.719001700003,7309.69289547,1579.99490359,174598.043127,155839.392986,41588.5078627,11496.083365999999,16695.9898083,57813.699858399996,78970.4971047,56582.23594219999,92162.4232254,93917.5254653,32607.3306114,6.58598524336,0.0,25440.402472,10618.382464,47864.071875,62.9
Uzbekistan,UZB,2013,46.0,25.64746141,49.8,26.22952958,2760.0,28398155.0,142459.02421,1006704.7789299999,11466.0196714,12909.9502677,607679.846734,259928.18352199998,48487.1996982,530909.488189,2220609.18187,166600.34166900002,380708.30412800005,92145.13888639999,439551.94323000003,512508.27146899997,526587.7594979999,424766.856149,670620.99436,280466.158,0.0,170.415471994,180452.390368,63726.5494222,520394.438354,43.0
Vanuatu,VUT,2013,46.7,25.30757874,60.4,26.66816403,2836.0,257812.0,1545.51406058,13420.3820699,1128.61836059,709.163110135,9031.885223000001,3215.92217467,1813.21256129,5486.56406503,23213.8986621,5631.37057621,1368.58408013,1645.32115328,2377.68522058,4042.07502874,9106.47602851,3678.66391705,8448.05281363,2901.97117035,30.6944351875,0.0,2102.91773656,310.15011653700003,5189.84722379,51.7
Venezuela,VEN,2013,61.6,27.21016129,63.4,27.00682134,2631.0,30340637.0,128248.573905,369429.389868,76431.6530226,27024.323658700003,434270.90673100005,53763.324551900005,24947.7590729,674656.880765,891106.813943,168177.854956,103776.653378,95571.794286,407351.435405,544878.644173,579994.265047,427511.73341,793683.549225,464597.260658,2607.61608402,84.598447447,145147.24106600002,709117.09142,350342.784075,61.0
Vietnam,VNM,2013,15.0,21.08743355,20.0,21.07354329,2745.0,90656550.0,868519.40942,1227131.88021,296686.495364,21081.0792349,839113.741317,205700.227652,102540.124037,2906361.75032,3801140.5720599997,993876.432018,571736.534286,272308.798372,1307157.50027,1678593.42074,1457593.27386,1596713.83023,2419650.88158,1322983.9686,12366.2890078,666.336784143,324208.194143,144402.00238599998,1392924.54828,16.0
Zambia,ZMB,2013,18.0,21.26378567,36.1,23.49008551,1930.0,14314515.0,2514385.57885,1891404.55169,507173.66129799996,79408.1828068,1024415.03914,466897.43503900006,162484.15001500002,299927.54972199997,467460.146468,113915.388154,99909.66797339999,140608.907122,152321.402184,247586.849552,239549.111193,133765.189065,351454.41983699996,153787.32506,2.68076832456,38.3561704506,52073.8382126,90722.5800754,349477.271275,22.3
Zimbabwe,ZWE,2013,19.1,21.93370333,48.9,24.93163594,2110.0,13327925.0,3078794.08211,1562988.1496299999,152482.68627,129408.04961300001,1000881.7382799999,276899.520793,65538.4864048,337316.87457600003,450369.361892,132678.29081500001,36949.3109618,118046.93602200001,152692.770866,264099.869552,275381.058216,148140.172389,440912.10059399996,200900.950355,7768.71625203,69.2495520759,84483.38955519999,94642.627944,201349.22025399999,30.8
